Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD
28,2009,Mark Sanchez,QB,38,Southern California,College Stats,74,227,4.93,32.5,0,116,7.06,4.21,New York Jets ,1,drafted,80972,22,22.13636364,14.22727273,180.2272727,0.727272727,1.863636364,3.181818182,1.5,0.181818182
96,2013,MarQueis Gray,QB,2,Minnesota,College Stats,75,240,4.65,30,15,111,7.25,4.3,0,8,undrafted,1017172,45,6.511111111,3.333333333,45.62222222,0.244444444,0.311111111,7.577777778,38.46666667,0.266666667
139,2013,Matt Barkley,QB,2,Southern California,College Stats,74,227,4.91,0,0,0,0,0,Philadelphia Eagles ,4,drafted,1026022,47,33.23404255,21.29787234,262.2765957,1.021276596,2.468085106,2.808510638,-2.404255319,0.127659574
91,2008,Matt Flynn,QB,8,LSU,College Stats,74,231,4.79,28,0,109,7.21,4.34,Green Bay Packers ,7,drafted,62597,25,17.08,9.64,119.88,0.52,1.2,5,13.8,0.2
77,2007,Matt Gutierrez,QB,0,Idaho State,College Stats,76,232,5,29.5,0,108,6.99,4.28,0,8,undrafted,1005498,2,34.5,20.5,267,1.5,1.5,4,-10.5,0.5
65,2006,Matt Leinart,QB,12,Southern California,College Stats,77,223,4.9,0,0,0,0,0,Arizona Cardinals ,1,drafted,39159,13,33.15384615,21.76923077,293.4615385,0.615384615,2.153846154,3.923076923,2.769230769,0.461538462
29,2008,Matt Ryan,QB,150,Boston College,College Stats,77,228,4.89,0,0,0,7.4,4.51,Atlanta Falcons ,1,drafted,57746,36,35.41666667,21.41666667,248.8888889,0.944444444,1.5,4.333333333,1.833333333,0.305555556
38,2013,Matt Scott,QB,0,Arizona,College Stats,74,213,4.69,31,0,118,6.69,3.99,0,8,undrafted,1015374,34,20.14705882,12.29411765,145.3235294,0.558823529,0.970588235,6.235294118,33.47058824,0.235294118
20,2009,Matthew Stafford,QB,101,Georgia,College Stats,74,225,4.81,30.5,0,107,7.06,4.47,Detroit Lions ,1,drafted,1001227,39,25.30769231,14.46153846,198.2307692,0.846153846,1.307692308,3.615384615,5.461538462,0.153846154
76,2010,Max Hall,QB,1,BYU,College Stats,73,209,4.84,32,0,102,7.07,4.35,0,8,undrafted,1000470,39,35.43589744,23.15384615,291.4102564,1.025641026,2.41025641,4.871794872,5.102564103,0.179487179
100,2013,Mike Glennon,QB,13,North Carolina State,College Stats,79,225,4.94,26.5,0,102,7.49,4.52,Tampa Bay Buccaneers ,3,drafted,1017547,36,29.69444444,17.94444444,205.8611111,0.861111111,1.75,3.111111111,-8.111111111,0.083333333
60,2010,Mike Kafka,QB,0,Northwestern,College Stats,75,225,4.93,32,0,110,6.96,4.37,Philadelphia Eagles ,4,drafted,81446,27,23.59259259,15.11111111,157.962963,0.740740741,0.703703704,9.925925926,33,0.407407407
102,2009,Nate Davis,QB,0,Ball State,College Stats,73,226,4.95,26.5,0,99,0,0,San Francisco 49ers ,5,drafted,1000275,39,28.82051282,17.38461538,236.7435897,0.564102564,1.897435897,4.435897436,12.79487179,0.256410256
23,2016,Nate Sudfeld,QB,1,Indiana,College Stats,78,234,5.02,29,0,105,0,0,Washington Redskins ,6,drafted,1047449,19,21.26315789,12.89473684,166.0526316,0.526315789,1.473684211,2.789473684,-1.421052632,0.052631579
142,2009,Nathan Brown,QB,0,Central Arkansas,0,73,219,4.86,30.5,0,106,7.43,4.44,0,8,undrafted,1014653,2,37,25,288,2,2,10.5,16,0
118,2011,Nathan Enderle,QB,0,Idaho,College Stats,76,240,5.12,25.5,0,102,7.13,4.46,Chicago Bears ,5,drafted,1001327,45,31.66666667,17.26666667,223.6,1.333333333,1.644444444,5.066666667,-7.777777778,0.066666667
