Player_Code,Player Name,Position,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
87369, Homolka,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
87132, Horton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022763, Howard,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86972, Huss,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0
86973, Ike,0,34,0,0,0,0,0,0,0,0,0,0,0,52,0,12
85057, Ikner,0,1,0,0,0,0,0,7,84,1,0,0,0,0,0,0
84529, Isaac,0,17,0,0,0,0,0,0,0,0,0,0,0,42,1,0
84971, Isaac,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,4
84805, Jackson,0,1,0,0,0,0,0,8,56,1,0,0,0,0,0,0
86025, James,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84533, Johnson,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0
84542, Jones,0,1,0,0,0,0,0,0,0,0,7,58,0,0,0,0
1015184, Joseph,0,31,0,0,0,0,0,0,0,0,0,0,0,39,0,2.5
84988, Kaspar,0,2,0,0,0,0,0,1,-11,0,0,0,0,0,0,0
86180, Kelly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86830, Kelly,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0
84904, Keys,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
86731, Kirkpatrick,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0.5
86176, Kornegay,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
84873, Lacey,0,46,0,0,0,0,0,0,0,0,0,0,0,143,7,1
86198, Lane,0,21,0,0,0,0,0,0,0,0,0,0,0,43,0,3.5
87068, Larson,0,29,0,0,0,0,0,0,0,0,0,0,0,32,2,4
86178, Lawson,0,23,0,0,0,0,0,0,0,0,0,0,0,24,0,0
84983, Lee,0,2,0,0,0,0,0,15,32,0,0,0,0,0,0,0
85992, Lee,0,40,0,0,0,0,0,0,0,0,0,0,0,153,3,11
87153, Lee,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0
86784, Leonard,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0
84646, Lewis,0,41,0,0,0,0,0,0,0,0,0,0,0,110,10,0
87355, Limbrick,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86824, Lovett,0,1,16,7,41,0,0,10,17,0,0,0,0,0,0,0
85995, Lucian,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0
87395, Lutz,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86876, Machado,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0
86163, Mack,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,2
86931, Malatesta,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0
86179, Mangum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87047, Manniing,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,1
87018, Mannion,0,26,0,0,0,0,0,0,0,0,1,12,0,48,2,0
86026, Marcoux,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015193, Martel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84982, Maycock,0,4,0,0,0,0,0,0,0,0,1,13,0,3,0,0
1036789, McAloney,LB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84507, Mcaulay,0,1,0,0,0,0,0,1,-4,0,0,0,0,0,0,0
84879, Mcbean,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,7.5
87165, Mccarthy,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87146, Mccullar,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0
86799, Mcgee,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0
87069, Mcgowan,0,15,0,0,0,0,0,0,0,0,0,0,0,28,4,0
85049, Mcintosh,0,1,0,0,0,0,0,4,9,0,1,4,0,0,0,0
85079, Mckinney,0,30,0,0,0,0,0,0,0,0,0,0,0,33,1,7
86244, Mclendon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86943, Meredith,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0
87384, Miranne,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86883, Mitchell,0,21,0,0,0,0,0,0,0,0,0,0,0,43,5,0
86031, Miyahira,0,13,0,0,0,0,0,0,0,0,0,0,0,21,2,0
85107, Moffett,0,30,0,0,0,0,0,0,0,0,0,0,0,37,1,10
84560, Moore,0,1,0,0,0,0,0,0,0,0,4,37,0,0,0,0
84870, Moore,0,42,0,0,0,0,0,0,0,0,0,0,0,107,1,0
84972, Moore,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
84954, Morgan,0,30,0,0,0,0,0,0,0,0,0,0,0,76,2,1
87368, Muhammed,0,18,0,0,0,0,0,0,0,0,0,0,0,27,3,1
87337, Myers,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87267, Naaman,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87147, Neal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036790, Oboh,0,1,0,0,0,0,0,0,0,0,3,21,0,0,0,0
