Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Position,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
47,2004,Jason Peters,TE,115.0,Arkansas,College Stats,76,336,4.93,29.0,21.0,115.0,7.7,4.75,0,8,undrafted,78386,RB,0,0,0,0,0,214,1053,7,12,100,0,0,0,0.0
48,2004,Chris Perry,RB,9.0,Michigan,College Stats,73,224,4.56,0.0,19.0,0.0,0.0,0.0,Cincinnati Bengals ,1,drafted,1018642,DL,0,0,0,0,0,0,0,0,0,0,0,19,0,2.0
73,2004,Kevin Jones,RB,29.0,Virginia Tech,College Stats,73,227,4.38,38.0,0.0,120.0,0.0,0.0,Detroit Lions ,1,drafted,72787,WR,0,0,0,0,0,9,61,1,68,969,3,0,0,0.0
75,2004,Greg Jones,RB,10.0,Florida State,College Stats,73,249,4.55,0.0,0.0,0.0,0.0,0.0,Jacksonville Jaguars ,2,drafted,1009826,LB,0,0,0,0,0,0,0,0,0,0,0,236,2,16.5
79,2004,Steven Jackson,RB,92.0,Oregon State,College Stats,73,241,4.55,0.0,0.0,0.0,0.0,0.0,St. Louis Rams ,1,drafted,62636,RB,0,0,0,0,0,0,0,0,5,36,0,4,0,0.0
101,2004,Chris Cooley,TE,38.0,Utah State,College Stats,75,265,4.87,33.0,22.0,115.0,7.21,4.19,Washington Redskins ,3,drafted,1057319,DB,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0
121,2004,Travis Wilson,FB,0.0,Kansas State,College Stats,75,256,4.89,33.0,25.0,109.0,7.56,4.36,0,8,undrafted,56264,WR,0,0,0,0,0,2,61,1,25,310,1,2,0,0.0
122,2004,Keith Willis,TE,0.0,Virginia Tech,College Stats,78,260,5.03,0.0,21.0,114.0,7.33,4.44,0,8,undrafted,69987,DL,0,0,0,0,0,0,0,0,0,0,0,19,0,4.5
124,2004,Mike Walker,TE,0.0,Minnesota-Morris,0,76,254,4.84,30.0,19.0,106.0,7.51,4.35,0,8,undrafted,63054,WR,0,0,0,0,0,1,7,0,154,2033,16,4,0,0.0
135,2004,Chris Collins,WR,0.0,Mississippi,College Stats,73,201,4.69,35.0,0.0,112.0,0.0,0.0,0,8,undrafted,1002873,LB,0,0,0,0,0,0,0,0,0,0,0,39,0,1.0
139,2004,Josh Davis,RB,0.0,Nebraska,College Stats,70,200,4.54,33.5,13.0,112.0,7.27,4.07,0,8,undrafted,1001230,OL,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
147,2004,Tony Johnson,WR,0.0,Penn State,College Stats,71,202,4.61,32.5,0.0,118.0,7.16,4.16,0,8,undrafted,85889,DB,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
155,2004,Josh Parrish,OT,0.0,Washington State,0,78,330,5.41,28.0,20.0,104.0,8.24,4.61,0,8,undrafted,1016844,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2005,Alex Smith,QB,112.0,Utah,College Stats,76,217,4.71,32.0,0.0,113.0,6.82,3.96,San Francisco 49ers ,1,drafted,1009431,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,2005,Tony Jackson,TE,0.0,Iowa,College Stats,74,266,4.75,33.0,23.0,113.0,7.5,4.48,Seattle Seahawks ,6,drafted,1008798,CB,0,0,0,0,0,76,259,0,12,106,1,4,0,0.0
22,2005,David Greene,QB,0.0,Georgia,College Stats,75,226,4.78,31.5,0.0,115.0,7.0,4.1,Seattle Seahawks ,3,drafted,1048368,DB,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0
34,2005,Chad Owens,WR,0.0,Hawaii,College Stats,67,183,4.62,37.0,0.0,116.0,6.7,3.94,Jacksonville Jaguars ,6,drafted,1037951,WR,0,0,0,0,0,2,10,0,13,116,1,1,0,0.0
43,2005,Lance Moore,WR,45.0,Toledo,College Stats,69,177,4.52,0.0,0.0,0.0,0.0,0.0,0,8,undrafted,86155,DB,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
55,2005,Matt Jones,TE,23.0,Arkansas,College Stats,78,242,4.37,39.5,0.0,129.0,0.0,0.0,Jacksonville Jaguars ,1,drafted,1020567,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,2005,Brandon Jones,WR,13.0,Oklahoma,College Stats,73,210,4.42,37.0,0.0,114.0,7.03,4.08,Tennessee Titans ,3,drafted,31023,WR,0,0,0,0,0,1,-4,0,4,36,1,0,0,0.0
57,2005,Marcus Johnson,OG,10.0,Mississippi,0,78,321,5.45,27.5,21.0,104.0,7.71,4.71,Minnesota Vikings ,2,drafted,49158,DL,0,0,0,0,0,0,0,0,0,0,0,19,0,2.0
