Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
50,2010,Colt McCoy,QB,13.0,Texas,College Stats,73,216,4.79,0.0,0.0,114.0,0.0,0.0,Cleveland Browns ,3,drafted,83447.0,53,1645.0,1157.0,13253.0,45.0,112.0,447.0,1571.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0
55,2010,Thaddeus Lewis,QB,4.0,Duke,College Stats,73,215,4.84,28.0,0.0,107.0,0.0,0.0,0,8,undrafted,1000915.0,47,1510.0,877.0,10065.0,40.0,67.0,350.0,-78.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0
56,2010,Dan LeFevour,QB,0.0,Central Michigan,College Stats,75,230,4.6,29.5,0.0,110.0,6.93,4.22,Chicago Bears ,6,drafted,79972.0,53,1762.0,1171.0,12905.0,36.0,102.0,672.0,2949.0,47.0,3.0,58.0,1.0,5.0,0.0,0.0
60,2010,Mike Kafka,QB,0.0,Northwestern,College Stats,75,225,4.93,32.0,0.0,110.0,6.96,4.37,Philadelphia Eagles ,4,drafted,81446.0,27,637.0,408.0,4265.0,20.0,19.0,268.0,891.0,11.0,1.0,24.0,1.0,1.0,0.0,0.0
76,2010,Max Hall,QB,1.0,BYU,College Stats,73,209,4.84,32.0,0.0,102.0,7.07,4.35,0,8,undrafted,1000470.0,39,1382.0,903.0,11365.0,40.0,94.0,190.0,199.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0
102,2010,Jimmy Clausen,QB,3.0,Notre Dame,College Stats,75,222,4.76,0.0,0.0,0.0,0.0,0.0,Carolina Panthers ,2,drafted,1010448.0,35,1110.0,695.0,8148.0,27.0,60.0,175.0,-355.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
105,2010,Sean Canfield,QB,0.0,Oregon State,College Stats,76,223,4.93,29.5,0.0,100.0,7.26,4.39,New Orleans Saints ,7,drafted,81622.0,35,861.0,552.0,5970.0,26.0,38.0,93.0,-313.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
111,2010,Levi Brown,QB,0.0,Troy,College Stats,75,229,4.93,31.5,20.0,106.0,7.07,4.43,Buffalo Bills ,7,drafted,1011455.0,23,830.0,522.0,6284.0,12.0,38.0,87.0,24.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0
112,2010,Jarrett Brown,QB,0.0,West Virginia,College Stats,75,224,4.5,34.5,0.0,114.0,7.24,4.39,0,8,undrafted,84040.0,32,421.0,268.0,2983.0,13.0,16.0,234.0,1138.0,13.0,1.0,-1.0,0.0,0.0,0.0,0.0
116,2010,Sam Bradford,QB,48.0,Oklahoma,College Stats,76,236,4.79,0.0,0.0,0.0,0.0,0.0,St. Louis Rams ,1,drafted,1002906.0,31,893.0,604.0,8403.0,16.0,88.0,77.0,36.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0
129,2010,Jevan Snead,QB,0.0,Mississippi,College Stats,75,219,5.04,33.0,0.0,106.0,7.08,4.33,0,8,undrafted,1003781.0,31,727.0,401.0,5765.0,35.0,48.0,135.0,263.0,7.0,2.0,42.0,0.0,2.0,0.0,0.0
