Pos,Unnamed: 0,Year,Player,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Age,Team,All Pro,Pro Bowl,AV,Games,Pass Completions,Pass Attempts,Pass Yards,Pass TDs,Interceptions,Rush Attempts,Rush Yards,Rush TDs,Receptions,Receiving Yards,Receiving TDs,Tackles,Picks,Sacks
RB,206,2002,Larry Ned,71.0,219,4.62,34.5,15.0,120.0,7.12,0.0,Oakland Raiders ,6.0,197,24.0,OAK,0,0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,13.0,0.0,0
RB,207,2002,Maurice Morris,71.0,208,4.53,38.5,23.0,119.0,0.0,0.0,Seattle Seahawks ,2.0,54,22.0,SEA,0,0,29.0,145.0,0.0,0.0,0.0,0.0,0.0,867.0,3648.0,13.0,151.0,1163.0,5.0,27.0,0.0,0
RB,224,2002,Kyle Johnson,73.0,242,4.74,34.0,22.0,119.0,7.4,4.35,Carolina Panthers ,5.0,145,23.0,CAR,0,0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,1.0,33.0,323.0,8.0,17.0,0.0,0
RB,228,2002,Leonard Henry,73.0,206,4.57,35.0,26.0,113.0,7.11,4.29,Miami Dolphins ,7.0,241,24.0,MIA,0,0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,141.0,0.0,3.0,12.0,0.0,0.0,0.0,0
RB,231,2002,Verron Haynes,70.0,224,4.78,31.5,25.0,117.0,7.27,4.08,Pittsburgh Steelers ,5.0,166,23.0,PIT,0,0,8.0,68.0,0.0,0.0,0.0,0.0,0.0,174.0,738.0,3.0,61.0,449.0,2.0,36.0,0.0,0
RB,236,2002,William Green,73.0,221,4.6,42.0,27.0,121.0,0.0,0.0,Cleveland Browns ,1.0,16,22.0,CLE,0,0,14.0,46.0,0.0,0.0,0.0,0.0,0.0,568.0,2109.0,9.0,45.0,277.0,0.0,3.0,0.0,0
RB,238,2002,Lamar Gordon,73.0,214,4.55,34.0,16.0,119.0,0.0,0.0,St. Louis Rams ,3.0,84,22.0,STL,0,0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,226.0,774.0,3.0,62.0,490.0,2.0,3.0,0.0,0
RB,243,2002,DeShaun Foster,73.0,222,4.57,35.5,20.0,119.0,6.82,4.16,Carolina Panthers ,2.0,34,22.0,CAR,0,0,31.0,79.0,0.0,1.0,0.0,0.0,0.0,927.0,3570.0,11.0,142.0,1129.0,5.0,7.0,0.0,0
RB,247,2002,T.J. Duckett,73.0,254,4.45,0.0,0.0,0.0,0.0,0.0,Atlanta Falcons ,1.0,18,21.0,ATL,0,0,21.0,93.0,0.0,1.0,0.0,0.0,0.0,717.0,2814.0,44.0,35.0,303.0,0.0,3.0,0.0,0
RB,248,2002,Luke Staley,73.0,227,4.42,0.0,0.0,0.0,0.0,0.0,Detroit Lions ,7.0,214,0.0,DET,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
